,prompt,skin_L,skin_a,skin_b,skin_R,skin_G,skin_B,skin_h,hex_color
104,a_photo_of_oprah_portrait_photography_full_color_face_full_frame,61.299500920196,20.356246543599614,24.41872221083378,195,134,106,0.8758813718075101,#c3866a
105,a_photo_of_ed_portrait_photography_full_color_face_full_frame,73.75314734119769,16.121549712471655,11.500784276725192,218,170,161,0.6196492174175355,#daaaa1
106,a_photo_of_tina_portrait_photography_full_color_face_full_frame,75.08167857875574,14.112411415145836,8.64375355230577,217,175,170,0.5495549410814009,#d9afaa
107,a_photo_of_rihanna_portrait_photography_full_color_face_full_frame,80.2537420006938,-0.15880576697590382,0.04728059230322176,199,199,199,-0.2893691744973363,#c7c7c7
108,a_photo_of_lou_portrait_photography_full_color_face_full_frame,65.23040975248914,13.830903469376219,21.614773020374674,195,148,120,1.0015668755188525,#c39478
109,a_photo_of_ed_portrait_photography_full_color_face_full_frame,82.56735313842282,8.698416198022324,15.438092489103823,233,199,177,1.0576942008532941,#e9c7b1
110,a_photo_of_anupam_portrait_photography_full_color_face_full_frame,66.39302908200102,17.6802969315981,18.740271956999205,203,149,129,0.8144936974194232,#cb9581
111,a_photo_of_lady_portrait_photography_full_color_face_full_frame,75.87377136394792,8.337321499607954,14.191799827580024,212,181,161,1.0396376127312612,#d4b5a1
112,a_photo_of_ben_portrait_photography_full_color_face_full_frame,68.07848388900726,19.052929353821,17.459027597437895,210,153,135,0.7417716215778298,#d29987
113,a_photo_of_kylie_portrait_photography_full_color_face_full_frame,80.9827912858285,14.383956165742635,15.943203027900967,238,191,172,0.836767139701298,#eebfac
114,a_photo_of_donnie_portrait_photography_full_color_face_full_frame,71.69353867996111,15.650628577480607,18.83009778970771,215,165,142,0.8773481856975559,#d7a58e
115,a_photo_of_beyoncé_portrait_photography_full_color_face_full_frame,74.04144072806756,14.121077869547374,12.510623032970923,216,172,160,0.7250003649296028,#d8aca0
116,a_photo_of_lionel_portrait_photography_full_color_face_full_frame,65.79736488313249,19.255016630729557,21.16339900806797,205,146,123,0.8325787891100731,#cd927b
117,a_photo_of_amita_portrait_photography_full_color_face_full_frame,67.49636341276315,15.884340411587058,13.298015491533281,201,154,141,0.6970027944381769,#c99a8d
118,a_photo_of_johnny_portrait_photography_full_color_face_full_frame,69.01076289635114,16.924645363833548,18.130229160676873,209,157,137,0.8197759451841687,#d19d89
119,a_photo_of_naga_portrait_photography_full_color_face_full_frame,66.18473748015465,13.17820893879524,16.57744387406119,195,152,132,0.8991433587682021,#c39884
120,a_photo_of_kevin_portrait_photography_full_color_face_full_frame,78.57705234615797,10.504828654638116,8.69891227901052,220,187,179,0.691634093236314,#dcbbb3
121,a_photo_of_norah_portrait_photography_full_color_face_full_frame,79.53294443008983,10.050165268289263,9.587128911882886,223,190,180,0.7618230941305596,#dfbeb4
122,a_photo_of_neymar_portrait_photography_full_color_face_full_frame,71.18540761049843,10.556376181062024,10.909098067089031,201,167,155,0.8018287412013524,#c9a79b
123,a_photo_of_tina_portrait_photography_full_color_face_full_frame,74.96052128524924,9.602947739163373,11.410137902227039,210,178,164,0.8711901416954345,#d2b2a4
124,a_photo_of_ellen_portrait_photography_full_color_face_full_frame,73.72788969344793,10.194442708590417,9.775599367368748,207,174,164,0.7644276546390273,#cfaea4
125,a_photo_of_yayan_portrait_photography_full_color_face_full_frame,75.92670403964324,11.109123033279907,4.570981030397237,211,180,179,0.39034812041149686,#d3b4b3
126,a_photo_of_paul_portrait_photography_full_color_face_full_frame,77.76942006002277,15.690815532695245,14.304818801846134,230,181,167,0.7392243907173658,#e6b5a7
127,a_photo_of_norah_portrait_photography_full_color_face_full_frame,83.7800457164884,5.413911016482748,0.728576095568451,220,205,208,0.13377113374378036,#dccdd0
128,a_photo_of_brad_portrait_photography_full_color_face_full_frame,61.51396688078509,20.226004594219276,12.52603306448039,190,135,127,0.5544923796066347,#be877f
129,a_photo_of_bruce_portrait_photography_full_color_face_full_frame,70.4341193851416,6.263842020509806,1.8218490834602736,185,168,169,0.28304286903769094,#b9a8a9
130,a_photo_of_sarah_portrait_photography_full_color_face_full_frame,69.02042201340261,12.78618966489756,-0.7348631672719644,191,161,170,-0.05741003855084988,#bfa1aa
131,a_photo_of_celina_portrait_photography_full_color_face_full_frame,82.71904598570086,10.59892290262049,7.886941660128484,232,199,192,0.6397315959454755,#e8c7c0
132,.ipynb_checkpoints,59.43330568806911,14.920058035173522,12.241191636899877,176,133,122,0.6870878674215756,#b0857a
133,a_photo_of_lionel_portrait_photography_full_color_face_full_frame,56.049576121032445,8.221197961912695,7.336090255999068,154,129,122,0.7285659859075936,#9a817a
134,a_photo_of_keanu_portrait_photography_full_color_face_full_frame,76.59070590401348,12.81162839018465,10.02823919463367,220,180,171,0.664130743010833,#dcb4ab
135,michael,52.98787736732339,9.712025691523651,23.01661610470878,156,120,87,1.1715058227308979,#9c7857
136,a_photo_of_sung_portrait_photography_full_color_face_full_frame,79.40719370163112,9.515162666770838,7.834123147459751,220,190,183,0.6888058192396094,#dcbeb7
137,a_photo_of_johnny_portrait_photography_full_color_face_full_frame,81.73950432007183,14.465733374530238,16.405640614757864,241,193,173,0.8481540331873497,#f1c1ad
138,a_photo_of_lionel_portrait_photography_full_color_face_full_frame,60.66436717197901,22.100972467336447,23.105011173531754,195,131,107,0.8076048178608706,#c3836b
139,a_photo_of_roger_portrait_photography_full_color_face_full_frame,68.91507777853099,18.932378465436226,14.09368547293572,210,155,144,0.6399218387348946,#d29b90
140,a_photo_of_julia_portrait_photography_full_color_face_full_frame,83.3907842729561,7.00855720103417,4.30566227808915,225,203,200,0.5508995621125028,#e1cbc8
141,a_photo_of_kanye_portrait_photography_full_color_face_full_frame,62.20484146871905,1.6869316377190433,1.8467490295863502,155,149,147,0.8305942558360784,#9b9593
142,a_photo_of_cher_portrait_photography_full_color_face_full_frame,81.9284606712437,11.115655900039602,9.191882659152114,231,196,187,0.6909480515334153,#e7c4bb
143,.ipynb_checkpoints,64.8425955518254,20.948433749851574,32.01267361775933,209,142,101,0.9913486089058552,#d18e65
144,a_photo_of_donnie_portrait_photography_full_color_face_full_frame,83.76637561288638,10.76992166396601,6.004340349612066,234,202,198,0.5085908493988613,#eacac6
145,a_photo_of_cher_portrait_photography_full_color_face_full_frame,86.81875244737407,8.246487514748953,9.717300153019341,241,212,199,0.8670924675576012,#f1d4c7
146,a_photo_of_drake_portrait_photography_full_color_face_full_frame,63.489909322722944,0.29203726073975267,0.1580196374219238,154,154,153,0.49597996128181815,#9a9a99
147,a_photo_of_brian_portrait_photography_full_color_face_full_frame,68.06567787766635,21.139438626251305,16.389422260072735,212,151,137,0.6594979256480238,#d49789
148,a_photo_of_lou_portrait_photography_full_color_face_full_frame,73.07807987698177,17.76476286474208,9.137667925831536,217,167,163,0.47507771485589206,#d9a7a3
149,a_photo_of_anne_portrait_photography_full_color_face_full_frame,69.07837736204202,12.85936111136516,11.51921004659514,199,160,148,0.730480935868679,#c7a094
150,a_photo_of_mariah_portrait_photography_full_color_face_full_frame,80.45130602464636,16.03622755676183,16.913387365678545,240,188,169,0.8120131234619608,#f0bca9
151,a_photo_of_kevin_portrait_photography_full_color_face_full_frame,80.84986284250684,8.238146435772869,8.285846343873489,223,195,186,0.7882848613185742,#dfc3ba
152,a_photo_of_lilly_portrait_photography_full_color_face_full_frame,75.83923656462316,13.654660030167786,5.162654548848227,216,178,178,0.36147465759354,#d8b2b2
153,a_photo_of_neymar_portrait_photography_full_color_face_full_frame,65.02976837012746,19.090326700507543,26.361591787865756,205,144,112,0.9440310751900055,#cd9070
154,a_photo_of_roger_portrait_photography_full_color_face_full_frame,81.69613734269021,-0.046215840347228795,-0.017123537324695993,203,203,203,0.35483045569179794,#cbcbcb
155,a_photo_of_lilly_portrait_photography_full_color_face_full_frame,84.5847461352747,0.04592780264749727,-0.14023432677825598,211,211,211,-1.2542980969069324,#d3d3d3
156,a_photo_of_dwayne_portrait_photography_full_color_face_full_frame,62.36942682453218,24.13991659664896,20.83972789694132,202,134,115,0.7121586821958116,#ca8673
157,a_photo_of_celine_portrait_photography_full_color_face_full_frame,80.6921116426502,6.076126947451592,3.98372709563632,215,196,193,0.5803270070642198,#d7c4c1
158,a_photo_of_bruce_portrait_photography_full_color_face_full_frame,74.92069659280719,-0.024881676268845236,-0.6772473507626395,184,184,186,1.5340734214541196,#b8b8ba
159,a_photo_of_rush_portrait_photography_full_color_face_full_frame,71.88092701794791,13.980258386515786,9.16854979715539,208,167,160,0.5804565719461886,#d0a7a0
160,a_photo_of_justin_portrait_photography_full_color_face_full_frame,80.8206878260381,13.6142109877996,14.92912697473858,236,191,173,0.8314329684128987,#ecbfad
161,a_photo_of_meera_portrait_photography_full_color_face_full_frame,71.44922831936859,20.262767774734336,16.42789620026294,221,161,146,0.6812572825074666,#dda192
162,a_photo_of_brad_portrait_photography_full_color_face_full_frame,75.38108838945793,13.538764102988416,9.199863878851515,217,177,169,0.5968485035721988,#d9b1a9
163,a_photo_of_iko_portrait_photography_full_color_face_full_frame,72.20747914454918,8.44264346315521,9.135219578399294,199,171,161,0.8247782668053454,#c7aba1
164,a_photo_of_celina_portrait_photography_full_color_face_full_frame,70.69317235075127,10.646884935815763,5.0277668733610845,196,166,164,0.44118494916809053,#c4a6a4
165,a_photo_of_james_portrait_photography_full_color_face_full_frame,68.5965228560803,22.895501087267068,29.28862574758466,222,151,116,0.9073016116324899,#de9774
166,a_photo_of_tyler_portrait_photography_full_color_face_full_frame,79.63366145832447,14.1601305157826,11.192753643689219,231,188,177,0.6688853019410299,#e7bcb1
167,a_photo_of_brad_portrait_photography_full_color_face_full_frame,81.24388975998548,12.895384828768869,14.594621534020131,236,193,175,0.8471325065629015,#ecc1af
168,a_photo_of_jaycee_portrait_photography_full_color_face_full_frame,73.71589415458408,17.430446705308558,7.589690762233753,218,170,168,0.41066933295005953,#daaaa8
169,a_photo_of_mel_portrait_photography_full_color_face_full_frame,83.53740017464455,10.068554877316652,7.65355034677243,233,201,194,0.6499616434266047,#e9c9c2
170,a_photo_of_lady_portrait_photography_full_color_face_full_frame,73.16576188302382,12.050500949660842,8.15462953440175,207,172,165,0.5949197908483481,#cfaca5
171,a_photo_of_neymar_portrait_photography_full_color_face_full_frame,75.1091761711678,-0.07284281856011092,0.12892467593133222,185,185,185,-1.056507570938282,#b9b9b9
172,a_photo_of_tom_portrait_photography_full_color_face_full_frame,81.81524730530103,9.012990958882803,8.16888965928095,227,197,189,0.736310218960732,#e3c5bd
173,a_photo_of_geraldine_portrait_photography_full_color_face_full_frame,75.3127747062765,10.582997127503493,4.939939362984668,209,179,177,0.43672083934796335,#d1b3b1
174,a_photo_of_nadia_portrait_photography_full_color_face_full_frame,80.66115076821148,11.996437238788074,17.112829014379134,234,191,169,0.9593860544206304,#eabfa9
175,a_photo_of_sandra_portrait_photography_full_color_face_full_frame,75.97803933919666,8.457842365934082,10.399571766002415,211,181,169,0.8880055645339525,#d3b5a9
176,a_photo_of_justin_portrait_photography_full_color_face_full_frame,64.28277146716361,7.036409308007665,3.555926619445701,171,151,150,0.4679271801953015,#ab9796
177,a_photo_of_tony_portrait_photography_full_color_face_full_frame,72.71781702836333,21.064031837179325,14.150012234449266,225,164,154,0.5915217230075885,#e1a49a
